场馆,城市,容量,上座纪录[注 1],建成年份,费用,主队,承办的大型赛事
潍坊市奥体中心-体育场(西门),潍坊市,"45,000[121]",（2019年7月28日）[122],2009年[121],6.6亿元[123],无,2009年全国运动会
淄博体育中心体育场,淄博市,"45,000[124]",16100,2009年[124],10亿元[注 7][124],淄博蹴鞠足球俱乐部（2017至今）,2009年全国运动会
淄博体育中心体育场,淄博市,"45,000[124]",（2019年9月7日）[125],2009年[124],10亿元[注 7][124],淄博蹴鞠足球俱乐部（2017至今）,2009年全国运动会
昆山足球场,昆山市,45000,,2023年,,,
宝安体育场,深圳市,"44,050[126]",40462,2011年[127],8.69亿元[128],深圳市足球俱乐部,2011年世界大学生夏季运动会
宝安体育场,深圳市,"44,050[126]",,2011年[127],8.69亿元[128],（2012年-2014年）,2011年世界大学生夏季运动会
宝安体育场,深圳市,"44,050[126]",,2011年[127],8.69亿元[128],,2011年世界大学生夏季运动会
宝安体育场,深圳市,"44,050[126]",,2011年[127],8.69亿元[128],,2011年世界大学生夏季运动会
宝安体育场,深圳市,"44,050[126]",（2011年8月21日）[126],2011年[127],8.69亿元[128],,2011年世界大学生夏季运动会
陕西省体育场,西安市,"43,000[注 18]",48869,1954年[131],2.5亿[132],陕西长安竞技足球俱乐部,1999年全国城市运动会
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],（2017年-2018年）,2018年国际足联世界杯预选赛亚洲区12强赛
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],陕西老城根足球俱乐部,2021年全国运动会
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],（2012年-2013年）,
陕西省体育场,西安市,"43,000[注 18]",（2018年10月27日）[130],1954年[131],2.5亿[132],陕西大秦足球俱乐部,
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],（2012年）,
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],陕西宝荣浐灞足球俱乐部,
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],（2006年-2011年）,
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],陕西国力足球俱乐部,
陕西省体育场,西安市,"43,000[注 18]",,1954年[131],2.5亿[132],（1999年-2004年）,
锦州滨海体育中心体育场,锦州市,"43,000[133]",不详,2017年[134],12.8亿元[134],无,无
洛阳新区体育中心体育场,洛阳市,"43,000[135]",不详,2007年[135],1.5亿元[136],无,无
娄底市体育中心体育场,娄底市,"42,760[137]",不详,2011年[138],7.5亿元[注 7][138],无,无
株洲市体育中心体育场,株洲市,"42,740[139]",不详,2006年[139],6亿元[139],无,2006年湖南省运动会
新疆体育中心体育场,乌鲁木齐市,"42,300[140]",60000,2005年[140],2.3亿元[142],新疆体彩足球俱乐部,无
新疆体育中心体育场,乌鲁木齐市,"42,300[140]",（2012年6月11日）[141],2005年[140],2.3亿元[142],（2006年-2008年）,无
新疆体育中心体育场,乌鲁木齐市,"42,300[140]",,2005年[140],2.3亿元[142],新疆君悦海棠足球俱乐部,无
新疆体育中心体育场,乌鲁木齐市,"42,300[140]",,2005年[140],2.3亿元[142],（2012年）,无
新疆体育中心体育场,乌鲁木齐市,"42,300[140]",,2005年[140],2.3亿元[142],新疆天山雪豹足球俱乐部（2014年-2017年，2019年至今）,无
拓东体育场,昆明市,"42,000[143]",30000,1942年[143],1.26亿元[143],无,2018年国际足联世界杯预选赛亚洲区12强赛
拓东体育场,昆明市,"42,000[143]",（2003年7月29日）[144],1942年[143],1.26亿元[143],无,2018年国际足联世界杯预选赛亚洲区12强赛
长春体育场,长春市,"41,638[145]",不详,2004年[145],1.3亿元[145],长春亚泰足球俱乐部,无
五源河体育场,海口市,"41,424[146]",不详,2018年[147],10.6亿[147],无,无
淮南奥体中心体育场,淮南市,"41,080[148]",不详,2019年[148],10.22亿[148],无,无
常州奥体中心体育场,常州市,"41,000[149]",30706,2008年[151],14亿元[注 7][151],无[注 19],无
常州奥体中心体育场,常州市,"41,000[149]",,2008年[151],14亿元[注 7][151],无[注 19],无
常州奥体中心体育场,常州市,"41,000[149]",,2008年[151],14亿元[注 7][151],无[注 19],无
常州奥体中心体育场,常州市,"41,000[149]",,2008年[151],14亿元[注 7][151],无[注 19],无
常州奥体中心体育场,常州市,"41,000[149]",（2016年7月27日）[150],2008年[151],14亿元[注 7][151],无[注 19],无
苏州奥林匹克体育中心体育场,苏州市,"40,933[152]",25132,2018年[152],48亿元[注 7][154],苏州东吴足球俱乐部（2019）,无
苏州奥林匹克体育中心体育场,苏州市,"40,933[152]",,2018年[152],48亿元[注 7][154],苏州东吴足球俱乐部（2019）,无
苏州奥林匹克体育中心体育场,苏州市,"40,933[152]",,2018年[152],48亿元[注 7][154],苏州东吴足球俱乐部（2019）,无
苏州奥林匹克体育中心体育场,苏州市,"40,933[152]",,2018年[152],48亿元[注 7][154],苏州东吴足球俱乐部（2019）,无
苏州奥林匹克体育中心体育场,苏州市,"40,933[152]",,2018年[152],48亿元[注 7][154],苏州东吴足球俱乐部（2019）,无
苏州奥林匹克体育中心体育场,苏州市,"40,933[152]",（2019年2月23日）[153],2018年[152],48亿元[注 7][154],苏州东吴足球俱乐部（2019）,无
包头奥体中心体育场,包头市,"40,545[155]",22860,2010年[157],11.4亿元[注 7][157],内蒙古草上飞足球俱乐部（2015年至今）,2011年全国中学生运动会
包头奥体中心体育场,包头市,"40,545[155]",,2010年[157],11.4亿元[注 7][157],内蒙古草上飞足球俱乐部（2015年至今）,2011年全国中学生运动会
包头奥体中心体育场,包头市,"40,545[155]",,2010年[157],11.4亿元[注 7][157],内蒙古草上飞足球俱乐部（2015年至今）,2011年全国中学生运动会
包头奥体中心体育场,包头市,"40,545[155]",,2010年[157],11.4亿元[注 7][157],内蒙古草上飞足球俱乐部（2015年至今）,2011年全国中学生运动会
包头奥体中心体育场,包头市,"40,545[155]",,2010年[157],11.4亿元[注 7][157],内蒙古草上飞足球俱乐部（2015年至今）,2011年全国中学生运动会
包头奥体中心体育场,包头市,"40,545[155]",（2015年3月21日）[156],2010年[157],11.4亿元[注 7][157],内蒙古草上飞足球俱乐部（2015年至今）,2011年全国中学生运动会
东胜区体育中心,鄂尔多斯市,"40,000[注 20][158]",不详,2011年[158],16亿元[158],无,2015年全国民运会
珠海体育中心体育场,珠海市,"40,000[159]",不详,1998年[160],1.26亿元[159],珠海中邦足球俱乐部（2003-2004）,1998年广东省运动会
珠海体育中心体育场,珠海市,"40,000[159]",不详,1998年[160],1.26亿元[159],珠海琴澳足球俱乐部（2021-2023）,2022年国际足联世界杯预选赛暨2023年亚洲杯预选赛[注 21]
台州体育中心体育场,台州市,"40,000[161]",不详,1998年[162],10亿元[注 7][163],无,2006年浙江省运动会
烟台体育公园体育场,烟台市,"40,000[164]",不详,2002年[165],4.2亿元[165],无,无
惠州奥林匹克体育场,惠州市,"40,000[166]",30000,2010年[166],6.3亿元[166],深圳红钻足球俱乐部（2011）[注 22],2010年广东省运动会
惠州奥林匹克体育场,惠州市,"40,000[166]",（2012年12月29日）[167],2010年[166],6.3亿元[166],惠州惠新足球俱乐部（2018-2019）,2010年广东省运动会
鞍山奥体中心体育场,鞍山市,"40,000[168]",32000,2013年[168],20亿元[注 7][168],无,2013年全国运动会
鞍山奥体中心体育场,鞍山市,"40,000[168]",（2014年9月4日）[169],2013年[168],20亿元[注 7][168],无,2013年全国运动会
西宁海湖体育中心体育场,西宁市,"40,000[170]",不详,2013年[170],14.16亿元[注 7][170],青海庄伯足球俱乐部,无
西宁海湖体育中心体育场,西宁市,"40,000[170]",不详,2013年[170],14.16亿元[注 7][170],（2017年）,无
安庆体育中心体育场,安庆市,"40,000[171]",不详,2014年[172],12亿元[注 7][171],无,2014年安徽省运动会
湛江奥体中心体育场,湛江市,"40,000[173]",不详,2015年[173],18亿元[注 7][174],无,2015年广东省运动会
中国轻纺城体育中心体育场,绍兴市,"40,000[175]",11258,2014年[175],18亿元[注 7][175],浙江毅腾足球俱乐部,无
中国轻纺城体育中心体育场,绍兴市,"40,000[175]",（2017年5月13日）[176],2014年[175],18亿元[注 7][175],（2016年-2019年）,无
宜昌奥体中心体育场,宜昌市,"40,000[177]",不详,2019年[177],23.35亿元[注 7][177],无,2022年浙江省运动会（计划）
东安湖体育公园,成都市,"40,000[178]",,2021年[179],15.60亿元[180],,2021年夏季世界大学生运动会
成都体育中心,成都市,"39,225[181]",60000,1991年[183],不详,四川全兴足球俱乐部,2007年国际足联女子世界杯
成都体育中心,成都市,"39,225[181]",（1995年11月19日）[182],1991年[183],不详,（1993年-2003年）,2000年全国大学生运动会
成都体育中心,成都市,"39,225[181]",,1991年[183],不详,成都谢菲联足球俱乐部,
成都体育中心,成都市,"39,225[181]",,1991年[183],不详,（1996年-2011年）[注 23],
广州大学城体育中心体育场,广州市,"37,784[187]",不详,2007年[188],4.7亿[188],无,2008年全国大学生运动会
广州大学城体育中心体育场,广州市,"37,784[187]",不详,2007年[188],4.7亿[188],无,
广州大学城体育中心体育场,广州市,"37,784[187]",不详,2007年[188],4.7亿[188],无,
广州大学城体育中心体育场,广州市,"37,784[187]",不详,2007年[188],4.7亿[188],无,
广州大学城体育中心体育场,广州市,"37,784[187]",不详,2007年[188],4.7亿[188],无,
广州大学城体育中心体育场,广州市,"37,784[187]",不详,2007年[188],4.7亿[188],无,2010年亚洲运动会
浦东足球场,上海市,37000,,2021年,,上海海港足球俱乐部,
广州足球公园,广州市,"74,707[189]",2020年[189],2025年[189],120亿元[注 1][189],,暂缺
济南黄河体育中心,济南市,61571,2022年,2025年,,,暂缺
杭州国际体育中心,杭州市,60000,2022年,2025年,,,暂缺
四维国际文化体育运动中心,沈阳市,60000,2022年,2025年,,,暂缺
南京国际文体小镇,南京市,60000,2022年,2025年,,,暂缺
临空港大道五环体育中心(公交站),武汉市,60000,2021年,2025年,,,
